35.21, -97.44, 126.49, 90.00, 325.63, 0.75, -0.50, 0.31, -0.15, -0.04, 2.92, -2.86
35.21, -97.44, 126.44, 90.00, 325.63, 0.75, -0.50, 0.31, -0.12, -0.07, 3.08, -2.94
35.21, -97.44, 126.44, 90.00, 325.63, 0.75, -0.50, 0.33, -0.19, -0.04, 3.25, -3.04
35.21, -97.44, 126.44, 90.00, 325.88, 0.69, -0.50, 0.32, -0.20, -0.03, 3.44, -3.11
35.21, -97.44, 126.44, 90.00, 326.06, -7.63, 9.56, -0.85, -2.06, -1.48, 3.48, -3.34
35.21, -97.44, 126.49, 90.00, 325.81, -57.56, 23.44, -7.96, -2.44, -4.71, 0.26, -4.16
35.21, -97.44, 126.49, 90.00, 317.50, -69.87, 26.81, -8.99, -1.83, -6.34, -4.55, -5.29
35.21, -97.44, 126.49, 90.00, 323.25, -68.12, 19.94, -8.86, -1.56, -5.95, -9.83, -6.49
35.21, -97.44, 126.44, 90.00, 327.44, -58.81, 15.06, -8.11, -1.66, -4.68, -14.64, -7.43
35.21, -97.44, 126.44, 90.00, 343.31, -2.44, -0.25, -0.28, -0.11, 0.05, -17.28, -7.86
35.21, -97.44, 125.91, 90.00, 347.06, 6.13, 8.81, 2.75, -3.31, -1.02, -17.19, -8.23
35.21, -97.44, 125.91, 90.00, 298.88, 4.44, 8.94, -1.14, -1.71, -1.05, -17.15, -8.51
35.21, -97.44, 126.09, 90.00, 289.00, 1.25, 0.12, 0.57, -0.05, -0.18, -16.60, -9.25
35.21, -97.44, 126.09, 90.00, 294.19, 1.12, 0.06, 0.37, -0.25, -0.04, -16.40, -9.40
35.21, -97.44, 126.15, 90.00, 294.19, 1.06, 0.06, 0.34, -0.33, -0.01, -16.19, -9.56
35.21, -97.44, 126.15, 90.00, 294.19, 1.00, 0.06, 0.38, -0.29, 0.02, -16.01, -9.71
35.21, -97.44, 126.15, 90.00, 294.19, 1.00, 0.06, 0.36, -0.25, -0.03, -15.79, -9.88
35.21, -97.44, 125.40, 90.00, 294.19, 1.00, 0.06, 0.37, -0.29, 0.00, -15.61, -10.03
35.21, -97.44, 125.40, 90.00, 294.19, 1.00, 0.06, 0.36, -0.27, 0.02, -15.40, -10.20
35.21, -97.44, 125.28, 90.00, 294.19, 1.00, 0.06, 0.35, -0.28, 0.06, -15.21, -10.35
35.21, -97.44, 125.28, 90.00, 296.44, 0.94, 0.06, 0.35, -0.27, 0.00, -15.00, -10.51
35.21, -97.44, 125.28, 90.00, 296.44, 1.12, -0.19, 0.41, -0.19, -0.04, -14.81, -10.64
35.21, -97.44, 125.28, 90.00, 331.94, 0.69, -0.50, 0.50, 0.37, -0.69, -14.74, -10.77
35.21, -97.44, 125.28, 90.00, 352.63, 0.37, -0.88, 3.85, -1.56, 0.48, -14.62, -10.71
35.21, -97.44, 125.28, 90.00, 19.19, -0.06, -0.88, 0.07, -0.14, 0.06, -14.60, -10.57
35.21, -97.44, 125.28, 90.00, 20.12, -0.25, -0.88, 0.06, -0.07, -0.01, -14.54, -10.63
35.21, -97.44, 125.91, 90.00, 19.44, -0.37, -0.88, 0.12, -0.10, -0.04, -14.50, -10.67
35.21, -97.44, 125.91, 90.00, 20.94, -0.50, -0.88, 0.11, -0.09, -0.02, -14.44, -10.73
35.21, -97.44, 126.54, 90.00, 20.94, -0.56, -0.88, 0.10, -0.10, 0.00, -14.40, -10.77
35.21, -97.44, 126.54, 90.00, 19.44, -0.56, -0.94, 0.09, -0.05, 0.01, -14.35, -10.82
35.21, -97.44, 126.44, 90.00, 15.69, -0.50, -0.94, 0.08, 0.13, 0.03, -14.30, -10.88
35.21, -97.44, 126.44, 90.00, 10.81, -0.44, -0.88, 0.14, -0.09, 0.02, -14.23, -10.93
35.21, -97.44, 126.44, 90.00, 8.31, -0.37, -1.00, 0.14, -0.08, 0.01, -14.16, -10.97
35.21, -97.44, 126.44, 90.00, 6.06, -0.37, -0.94, 0.14, -0.08, -0.01, -14.08, -11.01
35.21, -97.44, 126.38, 90.00, 4.38, -0.37, -0.81, 0.15, -0.24, 0.03, -14.00, -11.07
35.21, -97.44, 126.38, 90.00, 1.69, -0.31, -0.81, 0.23, -0.01, 0.00, -13.90, -11.13
35.21, -97.44, 126.38, 90.00, 358.94, -0.31, -0.88, 0.20, -0.11, -0.02, -13.79, -11.18
35.21, -97.44, 126.38, 90.00, 358.94, -0.31, -0.94, 0.17, -0.08, 0.04, -13.69, -11.24
35.21, -97.44, 126.38, 90.00, 359.25, -0.31, -0.88, 0.19, -0.11, -0.03, -13.58, -11.29
35.21, -97.44, 126.33, 90.00, 359.25, -0.31, -0.88, 0.17, -0.09, 0.00, -13.49, -11.35
35.21, -97.44, 126.33, 90.00, 359.31, -0.31, -0.88, 0.18, -0.09, -0.06, -13.38, -11.40
35.21, -97.44, 126.33, 90.00, 359.31, -0.31, -0.94, 0.10, 0.23, 0.37, -13.29, -11.45
35.21, -97.44, 126.33, 90.00, 359.31, -0.31, -0.94, 0.21, -0.07, 0.00, -13.19, -11.50
35.21, -97.44, 126.28, 90.00, 359.31, -0.31, -0.94, 0.17, -0.08, -0.01, -13.08, -11.55
35.21, -97.44, 126.28, 90.00, 359.31, -0.31, -0.94, 0.19, -0.12, 0.02, -12.98, -11.60
